baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
nbisL1-transcript-10093	522.88733900918	-1.29364611628076	0.351332737250895	-3.68211094247371	0.000231310704362012	0.02112413193007
nbisL1-transcript-10094	2719.2602490094	-0.629611211772156	0.153049997781751	-4.11376165238485	0.000038926336063999	0.00652983476668207
nbisL1-transcript-10098	10435.6931108804	-1.28087717229583	0.363985668642848	-3.5190318813147	0.000433124655518482	0.0324200123450293
nbisL1-transcript-10135	175.110874917266	-8.27616553597861	2.17431857024141	-3.8063261056818	0.000141046381892902	0.0151841320032025
nbisL1-transcript-10138	8.25429445030125	-16.3288880503612	4.77319207367831	-3.42095767325321	0.000624010431630279	0.0412967843752718
nbisL1-transcript-10141	83.2881157344609	-20.372582373695	4.50242529193175	-4.52480186849569	0.00000604521117483183	0.0014531310753793
nbisL1-transcript-10198	154.634811581517	-20.2493443409283	2.13961199014191	-9.4640263908716	0.00000000000000000000296308484511795	0.00000000000000000836152912443833
nbisL1-transcript-10312	1253.41970715171	-0.504102255143333	0.11210605994464	-4.49665482305121	0.00000690309186259507	0.00158403860492966
nbisL1-transcript-10353	5904.2344509515	-0.88325554896926	0.208606999037459	-4.23406478711031	0.0000229504778911241	0.00434841005420881
nbisL1-transcript-1039	104.19631864319	-0.866023104390745	0.248261330527768	-3.48835278756343	0.000486006364887448	0.034897235650786
nbisL1-transcript-10524	33.4085536893271	1.94202900563187	0.519030005883718	3.74165074006715	0.000182815469029913	0.0181012972651056
nbisL1-transcript-10546	4693.02560532727	-1.42307771755372	0.340792978029145	-4.17578356744198	0.0000296962067567158	0.00533756215584563
nbisL1-transcript-10755	365.107341873714	-6.82524153626608	1.44395922291541	-4.72675504124393	0.00000228136201206042	0.000684869729982265
nbisL1-transcript-10759	85.4249582673713	-8.28462606051634	1.84022406038455	-4.50196595015996	0.00000673277698927166	0.00157018375091122
nbisL1-transcript-10767	887.949171086723	-0.882894854329963	0.198406269872158	-4.44993424299974	0.00000858965852581838	0.00187900444914782
nbisL1-transcript-1077	308.760257693239	-3.10449341660503	0.83004495790694	-3.74015092439498	0.000183909794146418	0.0181459807028594
